datetime,meas AH 1:CMP MEAS BOX 1 (g/m3),meas AH 2:CMP MEAS BOX 2 (g/m3),meas CO2:CMP (ppm),meas HD:CMP (g/m3),meas RH:CMP (%),meas grh temp:CMP (°C),radiation sum:WEATHER RAD SENS (J/cm²),radiation:WEATHER RAD SENS (W/m²),공급ec,공급ph,공급량,배액ec,배액ph,배액량,공급횟수,1회공급량,배액율
2021-09-27 00:00:00,14.6,14.6,436.89,0.7,95.89,17.9,1506.0,0.0,2.8,5.5,1480.0,4.866666666666666,6.0,2466.6666666666665,17.0,87.05882352941177,0.2777777777777777
2021-09-27 00:05:00,14.69,14.6,442.36,0.61,96.0,17.9,1506.0,0.0,,,,,,,,,
2021-09-27 00:10:00,14.61,14.6,443.0,0.69,96.0,17.9,1506.0,0.0,,,,,,,,,
2021-09-27 00:15:00,14.6,14.6,443.89,0.7,96.0,17.9,1506.0,0.0,,,,,,,,,
2021-09-27 00:20:00,14.6,14.6,449.36,0.61,96.0,17.81,1506.0,0.0,,,,,,,,,
2021-09-27 00:25:00,14.51,14.6,450.0,0.6,96.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 00:30:00,14.5,14.6,455.36,0.6,96.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 00:35:00,14.5,14.51,456.0,0.6,96.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 00:40:00,14.5,14.5,456.0,0.6,96.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 00:45:00,14.5,14.5,456.89,0.6,96.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 00:50:00,14.5,14.5,462.36,0.6,96.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 00:55:00,14.5,14.5,463.0,0.6,96.0,17.61,1506.0,0.0,,,,,,,,,
2021-09-27 01:00:00,14.41,14.41,468.36,0.6,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 01:05:00,14.4,14.4,474.36,0.6,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 01:10:00,14.4,14.4,469.64,0.6,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 01:15:00,14.4,14.4,474.36,0.6,96.0,17.6,1506.0,0.89,,,,,,,,,
2021-09-27 01:20:00,14.49,14.49,475.0,0.6,96.0,17.69,1506.0,1.0,,,,,,,,,
2021-09-27 01:25:00,14.5,14.5,481.25,0.6,96.0,17.7,1506.0,1.0,,,,,,,,,
2021-09-27 01:30:00,14.5,14.5,482.0,0.6,96.0,17.7,1506.0,1.0,,,,,,,,,
2021-09-27 01:35:00,14.5,14.5,482.89,0.6,96.0,17.7,1506.0,1.0,,,,,,,,,
2021-09-27 01:40:00,14.41,14.5,488.36,0.6,96.0,17.7,1506.0,1.0,,,,,,,,,
2021-09-27 01:45:00,14.4,14.5,483.64,0.51,96.0,17.61,1506.0,0.11,,,,,,,,,
2021-09-27 01:50:00,14.4,14.5,488.36,0.59,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 01:55:00,14.4,14.5,489.89,0.6,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 02:00:00,14.4,14.5,490.0,0.6,96.0,17.6,1506.0,0.0,,,,,,,,,
2021-09-27 02:05:00,14.49,14.5,494.46,0.6,96.0,17.69,1506.0,0.0,,,,,,,,,
2021-09-27 02:10:00,14.5,14.5,495.89,0.6,96.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 02:15:00,14.59,14.59,496.0,0.6,96.0,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 02:20:00,14.6,14.6,501.32,0.51,96.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 02:25:00,14.51,14.6,502.0,0.59,96.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 02:30:00,14.59,14.69,502.0,0.51,96.89,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 02:35:00,14.6,14.7,502.89,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 02:40:00,14.6,14.7,508.32,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 02:45:00,14.6,14.7,509.89,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 02:50:00,14.69,14.79,509.11,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 02:55:00,14.7,14.71,509.89,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 03:00:00,14.7,14.7,510.0,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 03:05:00,14.7,14.79,510.0,0.5,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 03:10:00,14.7,14.8,515.32,0.41,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 03:15:00,14.7,14.71,521.32,0.4,97.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 03:20:00,14.7,14.7,517.57,0.4,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 03:25:00,14.7,14.7,521.43,0.49,97.0,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 03:30:00,14.61,14.7,522.0,0.5,97.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 03:35:00,14.69,14.7,522.0,0.41,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 03:40:00,14.7,14.7,522.89,0.49,97.0,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 03:45:00,14.7,14.7,523.0,0.5,97.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 03:50:00,14.7,14.7,528.32,0.41,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 03:55:00,14.7,14.7,523.68,0.4,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 04:00:00,14.7,14.7,528.32,0.49,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 04:05:00,14.7,14.7,529.0,0.41,97.0,17.7,1506.0,0.0,,,,,,,,,
2021-09-27 04:10:00,14.7,14.7,535.21,0.4,97.0,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 04:15:00,14.7,14.7,536.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:20:00,14.7,14.7,536.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:25:00,14.7,14.7,536.89,0.49,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:30:00,14.7,14.7,542.32,0.41,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:35:00,14.7,14.7,543.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:40:00,14.7,14.79,543.0,0.4,97.0,17.71,1506.0,0.0,,,,,,,,,
2021-09-27 04:45:00,14.79,14.71,543.0,0.4,97.0,17.79,1506.0,0.0,,,,,,,,,
2021-09-27 04:50:00,14.8,14.79,543.88,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 04:55:00,14.8,14.8,544.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:00:00,14.8,14.8,549.28,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:05:00,14.8,14.8,550.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:10:00,14.8,14.8,550.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:15:00,14.8,14.8,550.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:20:00,14.8,14.8,550.0,0.4,97.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:25:00,14.8,14.8,555.28,0.4,97.88,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:30:00,14.8,14.89,551.6,0.4,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:35:00,14.8,14.9,555.4,0.31,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:40:00,14.8,14.9,556.0,0.39,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:45:00,14.8,14.81,556.0,0.31,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:50:00,14.8,14.8,556.88,0.39,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 05:55:00,14.8,14.8,557.0,0.4,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 06:00:00,14.89,14.89,562.28,0.4,98.0,17.8,1506.0,0.0,,,,,,,,,
2021-09-27 06:05:00,14.99,14.9,563.0,0.49,97.12,18.06,1506.0,0.0,,,,,,,,,
2021-09-27 06:10:00,15.09,14.99,563.88,0.59,96.12,18.28,1506.0,0.0,,,,,,,,,
2021-09-27 06:15:00,15.1,15.18,564.0,0.69,95.12,18.48,1506.0,0.0,,,,,,,,,
2021-09-27 06:20:00,15.19,15.29,563.12,0.88,95.0,18.68,1506.0,0.0,,,,,,,,,
2021-09-27 06:25:00,15.2,15.39,563.0,0.81,95.0,18.79,1506.0,0.88,,,,,,,,,
2021-09-27 06:30:00,15.2,15.4,563.88,0.89,94.12,18.89,180.72,2.76,,,,,,,,,
2021-09-27 06:35:00,15.2,15.49,564.0,0.9,94.0,18.9,0.0,3.88,,,,,,,,,
2021-09-27 06:40:00,15.2,15.59,563.12,0.9,94.88,18.9,0.0,7.52,,,,,,,,,
2021-09-27 06:45:00,15.29,15.6,569.16,0.81,95.0,18.99,0.0,10.64,,,,,,,,,
2021-09-27 06:50:00,15.39,15.69,563.84,0.8,95.0,19.0,0.88,14.52,,,,,,,,,
2021-09-27 06:55:00,15.49,15.79,569.16,0.8,95.0,19.09,1.88,21.16,,,,,,,,,
2021-09-27 07:00:00,15.5,15.8,564.72,0.8,95.0,19.19,2.88,29.92,,,,,,,,,
2021-09-27 07:05:00,15.59,15.89,557.84,0.8,95.0,19.29,3.88,37.16,,,,,,,,,
2021-09-27 07:10:00,15.78,15.99,545.56,0.8,95.0,19.39,4.88,43.28,,,,,,,,,
2021-09-27 07:15:00,15.62,15.82,520.24,0.98,94.12,19.31,6.76,52.8,,,,,,,,,
2021-09-27 07:20:00,15.6,15.71,493.24,1.0,94.0,19.39,8.76,64.56,,,,,,,,,
2021-09-27 07:25:00,15.6,15.61,471.52,1.09,93.12,19.4,10.76,64.24,,,,,,,,,
2021-09-27 07:30:00,15.42,15.51,447.0,1.1,93.0,19.31,12.76,61.36,,,,,,,,,
2021-09-27 07:35:00,15.31,15.41,425.52,1.19,93.0,19.3,14.76,71.56,,,,,,,,,
2021-09-27 07:40:00,15.21,15.14,410.68,1.38,92.12,19.21,17.64,80.04,,,,,,,,,
2021-09-27 07:45:00,15.2,15.01,392.39,1.49,91.13,19.2,20.62,86.25,,,,,,,,,
2021-09-27 07:50:00,15.11,15.0,377.77,1.5,91.0,19.29,23.62,93.99,,,,,,,,,
2021-09-27 07:55:00,15.1,14.91,369.85,1.59,90.12,19.3,26.64,104.67,,,,,,,,,
2021-09-27 08:00:00,15.19,14.99,363.75,1.69,90.0,19.39,29.62,112.12,,,,,,,,,
2021-09-27 08:05:00,15.29,14.91,350.77,1.7,90.0,19.49,33.49,121.73,,,,,,,,,
2021-09-27 08:10:00,15.39,14.99,349.0,1.79,90.0,19.67,37.49,130.86,,,,,,,,,
2021-09-27 08:15:00,15.49,14.65,342.89,1.89,89.13,19.61,41.49,134.62,,,,,,,,,
2021-09-27 08:20:00,15.5,14.51,335.89,1.9,89.0,19.69,46.37,145.48,,,,,,,,,
